Founded Date,Founded Date Precision,Organization Name,Organization Name URL,Categories,Description,Headquarters Location,Headquarters Regions,Operating Status,Hub Tags,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Acquisitions,Acquisition Status
2013-01-01,year,AdviceGames,https://www.crunchbase.com/organization/advicegames,"Financial Services, FinTech, Gamification, Machine Learning, Robotics",AdviceGames provides virtual financial assisting and gamification for consumers and small businesses.,"London, England, United Kingdom",European Union (EU),Active,,2,,2015-02-09,570000,USD,570000,Undisclosed,1670000,USD,1670000,,
2016-06-01,day,Taste,https://www.crunchbase.com/organization/taste-4,"FinTech, Food and Beverage, Machine Learning, Mobile Apps",Conversational Dining Recommendation Platform,"Troy, New York, United States","East Coast, Northeastern US",Active,,2,Seed,2018-05-01,,,,Seed,160000,USD,160000,,
2016-05-19,day,Bled Tech,https://www.crunchbase.com/organization/bled-tech,"Artificial Intelligence, E-Commerce, Financial Services, FinTech, Mobile Payments, Nanotechnology",Bled Tech is a UK based company with international presence. ,"London, England, United Kingdom",European Union (EU),Active,,1,Seed,2016-05-19,265000,USD,265000,Seed,265000,USD,265000,,
2018-03-21,day,zeroone.ai,https://www.crunchbase.com/organization/zeroone-ai-inc,"Artificial Intelligence, Finance, FinTech",We make AI-driven financial products on the decentralized ecosystem.,"Toronto, Ontario, Canada",Great Lakes,Active,,1,Seed,2018-03-21,30000,CAD,23260,Seed,30000,CAD,23260,,
2013-07-01,day,LiquidLandscape,https://www.crunchbase.com/organization/progviz,"Big Data, Data Visualization, FinTech, Health Care",Liquid Landscape is a developer of applications that apply visualization to data and information.,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Closed,,1,Seed,2015-03-23,118000,USD,118000,Seed,118000,USD,118000,,
2015-01-01,year,IQCIO,https://www.crunchbase.com/organization/iqcio,"Artificial Intelligence, Financial Services, Risk Management", IQCIO empowers digital investment advice that adapts as market conditions change.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,1,Seed,2016-12-27,750000,USD,750000,Seed,750000,USD,750000,,
2018-01-01,month,Matcha Fund,https://www.crunchbase.com/organization/matcha-fund,"Asset Management, FinTech, Machine Learning",Matcha uses ML and Data Science to let institutional allocators screen more funds than any other investors in history.,,,Active,,1,Seed,2018-01-01,500000,USD,500000,Seed,500000,USD,500000,,
2017-07-01,day,ThinkerZero,https://www.crunchbase.com/organization/thinkerzero,"Artificial Intelligence, FinTech, Machine Learning",Machine Learning and Artificial Intelligence,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,,1,Seed,2017-12-30,125000,USD,125000,Seed,125000,USD,125000,,
2014-01-01,year,Awaait Artificial Intelligence S.L.,https://www.crunchbase.com/organization/awaait-artificial-intelligence-s-l,"Artificial Intelligence, Fraud Detection, Machine Learning, Public Safety, Real Time",AWAAIT develops and provides real-time video analytics systems powered with Artificial Intelligence and controllable through smartphones,"Barcelona, Catalonia, Spain",European Union (EU),Active,,2,,2017-05-01,1100000,EUR,1199947,Grant,1150000,EUR,1260177,,
2015-01-01,year,Alpharank,https://www.crunchbase.com/organization/alpharank-2,"Banking, Information Technology, Predictive Analytics",API's to turn payment data into human influence graphs.,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,1,,2015-07-02,,,,Convertible Note,,,,,
2018-03-08,day,BlockchainCybertech Limited,https://www.crunchbase.com/organization/blockchaincybertech-limited,"Artificial Intelligence, Blockchain, Finance, FinTech, Supply Chain Management",Develops smart blockchain solutions for Supply chain and Financial services,"Nairobi, Nairobi Area, Kenya",,Active,,1,Early Stage Venture,2018-03-08,200000,USD,200000,Series A,200000,USD,200000,,
2018-10-01,day,Idaptive,https://www.crunchbase.com/organization/idaptive,"Analytics, Cyber Security, Identity Management, Machine Learning","Idaptive Next-Gen Access is the only industry-recognized solution that uniquely converges SSO, MFA, EMM and User Behavior Analytics.","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,,,,,,,,,,,,
2013-06-13,day,i2i Logic,https://www.crunchbase.com/organization/i2i-logic,"Analytics, Data Visualization, Financial Services, FinTech, Predictive Analytics, Sales, Training",i2i Logic customizes client engagement platforms for bankers and other professionals to use with their corporate and institutional clients.,"Hong Kong, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),Active,,1,Seed,2014-07-01,41250,USD,41250,Seed,41250,USD,41250,,
2012-01-01,year,FixNix Inc.,https://www.crunchbase.com/organization/fixnix-infosec-solutions,"Artificial Intelligence, Banking, Compliance, Financial Services, FinTech, Insurance, Machine Learning, Predictive Analytics, Risk Management, Security",Fixnix is a developer of compliance and analytics software for large corporations.,"Fremont, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,2,Seed,2016-03-28,500000,USD,500000,Seed,662510,USD,662510,,
2011-08-01,day,Kimerick Technologies,https://www.crunchbase.com/organization/kimerick-technologies,"Analytics, Big Data, Finance, Financial Exchanges, FinTech, Machine Learning",Software company developing artificial intelligence and machine learning algorithms: big data classification & predictive financial trading.,"Berkeley, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,2,Seed,2013-08-26,55420,USD,55420,Seed,130420,USD,130420,,
2016-10-01,month,Tensorflight,https://www.crunchbase.com/organization/tensorflight,"Computer Vision, Database, InsurTech, Property Insurance",Actionable insights from aerial imagery,"Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,2,Seed,2017-10-04,,,,Seed,,,,,
2013-09-13,day,AIRMESH,https://www.crunchbase.com/organization/airmesh,"Artificial Intelligence, Autonomous Vehicles, Clean Energy, FinTech, Internet of Things, Location Based Services, Predictive Analytics, Renewable Energy, Robotics, Wireless",Creating a Global Ecosystem to Enable Connected Life,"New Delhi, Delhi, India",Asia-Pacific (APAC),Active,,2,Seed,2015-03-31,,,,Seed,,,,,
2016-01-01,year,Hafta,https://www.crunchbase.com/organization/hafta,"Angel Investment, Big Data, Credit, Predictive Analytics, Psychology, Venture Capital",Hafta is creating the world’s largest repository of psychometric data.,,,Active,,2,Seed,2016-09-05,40000,SGD,29458,Angel,80000,SGD,59241,,
2015-01-01,day,OakNorth Analytical Intelligence,https://www.crunchbase.com/organization/acorn-machine,"Artificial Intelligence, FinTech, Machine Learning, Small and Medium Businesses",A fintech platform that is unlocking the complex SME lending market globally by leveraging AI and machine learning,"London, England, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
2016-01-02,day,7 Chord,https://www.crunchbase.com/organization/7-chord,"Analytics, Artificial Intelligence, Big Data, Credit, Data Mining, Data Visualization, Financial Services, Machine Learning, Predictive Analytics, Trading Platform",FinTech firm that uses Machine Learning (A.I.) to automate pricing and execution in corporate bonds. Corporate Bond Electronic Trading,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,4,Seed,2018-07-01,517000,USD,517000,Seed,637000,USD,637000,,
2017-01-01,year,Theta Lake,https://www.crunchbase.com/organization/theta-lake,"Artificial Intelligence, Compliance, FinTech, Machine Learning, Natural Language Processing, Video, Video Advertising, Video Chat, Video Conferencing",AI-based supervision for audio and video recording compliance using automated detection and workflow for risks in digital content,"San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,,,,,,,,,,,,
2014-01-01,year,MICROBLINK,https://www.crunchbase.com/organization/microblink,"Artificial Intelligence, Computer Vision, Developer Tools, Identity Management, Image Recognition, Machine Learning",Microblink is a research and development company focused on machine vision technology for mobile devices.,"London, England, United Kingdom",European Union (EU),Active,,1,Seed,2016-01-01,,,,Angel,,,,,
2010-01-01,year,Neota Logic,https://www.crunchbase.com/organization/neota-logic,"Artificial Intelligence, FinTech",Neota Logic is the producer of an Artificial Intelligence software platform.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,,,,,,,
2017-09-01,month,BlockClaim,https://www.crunchbase.com/organization/blockclaim,"Artificial Intelligence, Blockchain, Image Recognition, Insurance, InsurTech, Natural Language Processing, Software",AI Fraud Filtering & Blockchain Claims Automation for Insurance,"London, England, United Kingdom",European Union (EU),Active,,1,Seed,2018-04-02,450000,GBP,632097,Seed,450000,GBP,632097,,
2008-01-01,year,ESA Business Applications,https://www.crunchbase.com/organization/european-space-agency,"Agriculture, Artificial Intelligence, Cyber Security, Government, Health Care, InsurTech, Internet of Things",Your business powered by Space,"Paris, Ile-de-France, France",European Union (EU),Active,,,,,,,,,,,,,
2018-08-10,day,Loro co.,https://www.crunchbase.com/organization/loro-co,"Artificial Intelligence, Assistive Technology, Communication Hardware, Health Care, Internet of Things, Machine Learning, Robotics",Loro is a smart personalized companion for wheelchair users to navigate safely and to communicate efficiently.,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,,1,Seed,2018-08-30,,,,Seed,,,,,
2013-01-01,month,LexPredict,https://www.crunchbase.com/organization/lexpredict,"Analytics, Cloud Data Services, Consulting, Enterprise Software, Information Technology, Legal, Natural Language Processing, Risk Management, Text Analytics",LexPredict is an enterprise consulting and technology firm.,,,Active,,,M&A,,,,,,,,,,Was Acquired
1995-01-01,year,Basis Technology,https://www.crunchbase.com/organization/basis-technology,"Analytics, Compliance, Cyber Security, Language Learning, Machine Learning, Natural Language Processing, Search Engine, Software, Text Analytics","Basis Technology offers software to extract content from unstructured multilingual text for search, e-discovery and digital forensics.","Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,,2,,2004-03-01,,,,Venture - Series Unknown,7500000,USD,7500000,,
2006-01-01,year,Smartlogic,https://www.crunchbase.com/organization/smartlogic-semaphore,"Analytics, Artificial Intelligence, Cloud Computing, Compliance, Customer Service, Financial Services, Knowledge Management, Machine Learning, Software",Smartlogic’s sophisticated semantic platform unifies structured and unstructured information to improve enterprise information management.,"London, England, United Kingdom",European Union (EU),Active,,,,,,,,,,,,1,Made Acquisitions
2016-04-01,day,collectAI,https://www.crunchbase.com/organization/collectai,"Artificial Intelligence, Debt Collections, Machine Learning, SaaS, Software","collectAI is a software platform providing digitised, AI-based payments and collection services to manage accounts receivables.",,,Active,,,,,,,,,,,,,
2004-01-01,day,Provenir,https://www.crunchbase.com/organization/provenir,"Analytics, Banking, Credit Cards, Data Integration, Data Visualization, FinTech, Predictive Analytics, Real Time, Software","A Software Company that Helps Financial institutions automate loan origination, Credit risk analysis, Merchant onboarding and KYC","Parsippany, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,,,,,,,
2017-11-01,month,Roger.ai,https://www.crunchbase.com/organization/roger-ai,"Artificial Intelligence, Finance, Financial Services, FinTech, Machine Learning, Mobile Payments",Bill Pay and Accounts Payable Automation for SMBs and Accountants,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,1,Seed,2016-08-22,,,,Seed,,,,,
2011-12-19,day,CUBE,https://www.crunchbase.com/organization/cube-global,"Artificial Intelligence, Compliance, FinTech, Information Technology, Machine Learning, Risk Management","CUBE's AI-driven RegTech platform monitors regulatory change in real time, highlights areas of non-compliance, and enables remediation.","London, England, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
2013-09-13,day,Switchboard Sally,https://www.crunchbase.com/organization/switchboard-sally,"Artificial Intelligence, Cloud Security, Communities, Identity Management, Predictive Analytics, Privacy, Social Network","Switchboard Sally leverages the transformational potential of artificial intelligence, trustworthy computing and blockchain technologies.","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,1,Seed,2014-05-01,175000,USD,175000,Seed,175000,USD,175000,,
2017-09-29,day,Block Aero Technologies,https://www.crunchbase.com/organization/block-aero-technologies-limited,"Aerospace, Artificial Intelligence, Asset Management, Blockchain, Supply Chain Management",Block Aero Technologies is an aerospace blockchain start-up using artificial intelligence to automate aviation asset management processes,"Hong Kong, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),Active,,,,,,,,,,,,,
2017-09-21,day,Teller.,https://www.crunchbase.com/organization/teller,"Artificial Intelligence, Banking, Blockchain, Finance, Financial Services, FinTech, Machine Learning, Mobile Payments, Payments, Predictive Analytics, Sharing Economy",Teller helps freelancers manage their complex financial life by managing it for them via AI & smart contracts on a single mobile app.,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,,,,,,,,,,,,
2017-10-01,day,humn.ai,https://www.crunchbase.com/organization/humn-ai,"Artificial Intelligence, Auto Insurance, Car Sharing, InsurTech, Internet of Things, Machine Learning","At Humn.ai, we are working with the insurance industry, helping the world prepare for the next big leaps in mobility and automation.","London, England, United Kingdom",European Union (EU),Active,,1,Seed,2018-01-20,,,,Pre-Seed,,,,,
2016-01-01,year,Relativity6,https://www.crunchbase.com/organization/relativity6,"Artificial Intelligence, Auto Insurance, FinTech, Insurance, InsurTech, Machine Learning, Predictive Analytics, SaaS",Relativity6 is a machine learning platform that enables organizations to better retain and serve their customers.,"Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,,2,Seed,2018-04-30,,,,Seed,,,,,
2016-09-01,month,Fintros,https://www.crunchbase.com/organization/fintros,"Artificial Intelligence, B2B, Financial Services, FinTech, Machine Learning, Marketplace, Recruiting, Software",Fintros (Techstars '18) enables companies to hire people not applying to their jobs.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,1,,2018-09-10,,,,Undisclosed,,,,,
2016-08-01,month,"DISCERN Analytics, Inc.",https://www.crunchbase.com/organization/discern,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Data Integration, Data Visualization, Enterprise Software, FinTech, SaaS","Augments business decision-making by enhancing the usability of non-financial data through signals, cognitive visualization and analytics","San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,,,,,,,,,,,,
2012-06-01,day,Risk Ident,https://www.crunchbase.com/organization/risk-ident,"Artificial Intelligence, Fraud Detection, Machine Learning, Security",Risk Ident offers anti-fraud solutions for global companies within the e-commerce and financial sectors.,"Hamburg, Hamburg, Germany",European Union (EU),Active,,,,,,,,,,,,,
1994-01-01,year,"Vitria Technology, Inc",https://www.crunchbase.com/organization/vitria-technology-inc,"Analytics, Big Data, Financial Services, FinTech, Internet of Things, Predictive Analytics, Software, Telecommunications",Vitria Technology provides operational intelligence and business process management solutions for businesses worldwide.,"Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,,IPO,,,,,,,,,1,Made Acquisitions
2014-12-10,day,Hearti,https://www.crunchbase.com/organization/hearti-lab--singapore--pte-ltd,"Artificial Intelligence, Blockchain, Employee Benefits, Human Resources, InsurTech, Machine Learning",An Smart HRM platform Using A.I & Blockchain to Revolutionize Enterprise Insurance.,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Active,,,,,,,,,,,,,
,,InstaPaisa,https://www.crunchbase.com/organization/instapaisa,"Big Data, Finance, Financial Services, Lending, Machine Learning",InstaPaisa is an online consumer lending platform.,"New Delhi, Delhi, India",Asia-Pacific (APAC),Active,,,,,,,,,,,,,
2016-12-09,day,Plasmatic Technologies Inc.,https://www.crunchbase.com/organization/plasmatic-technologies-inc,"Artificial Intelligence, InsurTech, Internet of Things, Machine Learning, Smart Home",Empowering service providers and their customers to benefit from the Connected Home through whole-home insights and mobile experiences.,"Vancouver, British Columbia, Canada",,Active,,1,Seed,2016-10-01,,,,Angel,,,,,
2017-01-01,day,Aiera,https://www.crunchbase.com/organization/aiera-inc,"Artificial Intelligence, Big Data, Finance, Financial Services, FinTech, Machine Learning",equity research automation on-demand,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,,,,,,,,,,,,,
2017-04-01,month,KapitalWise,https://www.crunchbase.com/organization/kapitalwise,"Artificial Intelligence, Banking, Finance, Predictive Analytics","KapitalWise powers deeper relationships between financial institutions and their customers, offering personalized recommendations.","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,2,Seed,2018-05-01,,,,Seed,,,,,
2017-01-01,year,Harvest Platform,https://www.crunchbase.com/organization/harvest-platform,"Artificial Intelligence, Banking, Consumer, Financial Services, FinTech, Internet, Machine Learning, Personal Finance","Harvest Platform identifies negotiable bank fees and gets refunds, automatically.","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,1,,2018-09-10,,,,Venture - Series Unknown,,,,,
2015-10-15,day,Tallysticks,https://www.crunchbase.com/organization/tallysticks,"Accounting, Artificial Intelligence, Contact Management, Financial Services, FinTech, Payments, SaaS, Sales Automation, Supply Chain Management",Tallysticks is an international trade solution for SMEs. ,"London, England, United Kingdom",European Union (EU),Active,,1,Seed,2016-01-01,,,,Seed,,,,,
2018-07-01,month,AnChain.ai,https://www.crunchbase.com/organization/anchain-ai,"Artificial Intelligence, Big Data, Bitcoin, Blockchain, Cryptocurrency, Cyber Security, Ethereum, FinTech, Machine Learning, Risk Management",AI Powered Blockchain Ecosystem Security,"Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,1,Seed,2018-07-01,,,,Seed,,,,,
2017-01-01,year,Smile Identity,https://www.crunchbase.com/organization/smile-identity,"Apps, Identity Management, Machine Learning","Smile Identity ties ID documents to a “smart selfie” of a user, creating a universal biometric for authentication on any Android device.","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,1,Seed,2017-05-01,,,,Seed,,,,,
2016-01-01,year,Harvesting Inc,https://www.crunchbase.com/organization/harvesting-inc,"Agriculture, Big Data, Credit, Emerging Markets, Finance, FinTech, Predictive Analytics, SaaS",Connecting finance with farmers,"Fremont, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,1,,2017-04-01,,,,Venture - Series Unknown,,,,,
2017-07-01,day,Conversation.one,https://www.crunchbase.com/organization/conversation-one,"Artificial Intelligence, Enterprise Software, Financial Services, FinTech, SaaS",Conversation.one helps businesses to automate their customer service on conversational channels.,"Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,,,,,,,,,,,,
2013-06-04,day,Wearable X,https://www.crunchbase.com/organization/wearable-x,"Apps, Fashion, FinTech, Machine Learning",Wearable X is a fashion tech company that brings together design and technology to create a better quality of life.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,1,,2018-02-12,,,,Undisclosed,,,,,
2012-10-25,day,Coseer,https://www.crunchbase.com/organization/coseer,"Artificial Intelligence, Consulting, Consumer, Finance, FinTech, Health Care, Legal, Machine Learning, Manufacturing","Cognitive computing to complete large, complex workflows just like a human team, but in an instant. Gets 95%+ accuracy, trains in weeks.","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,,,,,,,,,,,,
2013-01-01,year,LendIt,https://www.crunchbase.com/organization/lendit,"Angel Investment, Artificial Intelligence, Banking, Biometrics, Commercial Real Estate, Consumer Lending, Credit, Events, Financial Services, FinTech, Impact Investing, Lending, Real Estate, Real Estate Investment, Training, Venture Capital, Wealth Management",The largest conference series dedicated to connecting the global fintech & lending communities.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,,,,,,,
2017-09-01,month,SumUp Analytics,https://www.crunchbase.com/organization/sum-up-analytics,"Analytics, Artificial Intelligence, Cloud Computing, Field-Programmable Gate Array (FPGA), FinTech, Machine Learning, Natural Language Processing, Text Analytics","SumUp Analytics provides ultra-fast AI-powered analytics solution for text, cutting the workflow from hours to minutes.","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,,,,,,,,,,,,
2011-01-01,year,Money20/20,https://www.crunchbase.com/organization/money2020,"Artificial Intelligence, Banking, Biometrics, Blockchain, Cryptocurrency, Cyber Security, Digital Marketing, Events, Financial Services, FinTech, Payments, Retail","Money20/20 hosts the largest global events for Payments, FinTech and Financial Services.","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,,,,,,,
2014-07-01,day,Datavore®,https://www.crunchbase.com/organization/datavore,"Analytics, Big Data, Business Intelligence, Data Visualization, FinTech",Datavore® is a data analytics software company founded in 2014.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,1,,2015-02-03,,,,Non-equity Assistance,,,,,
2013-01-01,year,AdviceRobo,https://www.crunchbase.com/organization/advicerobo,"Artificial Intelligence, Banking, Credit, Machine Learning, SaaS, Software",AdviceRobo prevents credit risk from actually happening by delivering Innovative credit scoring and Advanced risk analytics. ,"London, England, United Kingdom",European Union (EU),Active,,2,,2018-09-14,,,,Venture - Series Unknown,,,,,
2013-01-01,year,FinGenius,https://www.crunchbase.com/organization/fingenius,"Artificial Intelligence, Big Data, Enterprise Software, FinTech, Natural Language Processing, Neuroscience",FinGenius is a technology company that develops artificial intelligence and natural language processing solutions for financial institutes.,"London, England, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
1999-01-01,year,Safe Banking Systems,https://www.crunchbase.com/organization/safe-banking-systems,"Analytics, Artificial Intelligence, Banking, Business Intelligence, Compliance, Data Integration, Data Mining, Data Visualization, Enterprise Software, Financial Services, FinTech, Fraud Detection, Identity Management, Information Services, Intelligent Systems, Machine Learning, Professional Services, Reputation, Risk Management, SaaS, Software, Subscription Service, Text Analytics","SBS specialized anti-money laundering and compliance solutions enable organizations to uncover fraud, terrorist financing, money laundering.","Mineola, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,,M&A,,,,,,,,,,Was Acquired
2017-01-01,year,Elafris,https://www.crunchbase.com/organization/elafris-inc,"Artificial Intelligence, Banking, Insurance, Machine Learning, Messaging, Natural Language Processing",Elafris - AI for Insurance,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,2,,2017-09-17,,,,Venture - Series Unknown,,,,,
2013-04-19,day,CLOUT,https://www.crunchbase.com/organization/clout,"Ad Targeting, Advertising, Analytics, Artificial Intelligence, Big Data, Direct Marketing, Email Marketing, FinTech, Loyalty Programs, Marketing, Marketing Automation, Predictive Analytics, Social Media Advertising, Social Media Marketing",World's first spending score. Seamless card-linked rewards & targeted marketing.,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,,2,Seed,2015-12-15,,,,Convertible Note,,,,,
2016-03-01,month,WeSee,https://www.crunchbase.com/organization/wesee,"Artificial Intelligence, Computer Vision, Content Discovery, Image Recognition, Insurance, InsurTech, Neuroscience, Video","WeSee delivers safety, security and integrity across society and business using the latest computer vision technology.","London, England, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
2005-05-01,day,Silobreaker,https://www.crunchbase.com/organization/silobreaker,"Artificial Intelligence, Big Data, Cyber Security, Data Mining, FinTech, Machine Learning, National Security, Security, Text Analytics",Silobreaker builds intelligence technology that makes sense of unstructured data on the web.,"London, England, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
2015-01-01,year,Gullak,https://www.crunchbase.com/organization/gullak,"Analytics, Finance, FinTech, Machine Learning, Personal Finance",Gullak is a dynamic and fast growing Noida based technology and data driven fintech product startup.,"Noida, Uttar Pradesh, India",Asia-Pacific (APAC),Active,,,,,,,,,,,,,
2015-01-01,day,Fraud.net,https://www.crunchbase.com/organization/fraud-net,"Analytics, Artificial Intelligence, Banking, Big Data, Business Intelligence, Consumer Lending, Cyber Security, E-Commerce, Financial Services, FinTech, Fraud Detection, Internet, Machine Learning, Marketplace, Payments, Retail, SaaS, Security",The next generation of real-time fraud prevention analytics. Eliminating e-commerce fraud with machine learning and big data.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,,,,,,,
2014-01-20,day,AlgoDynamix Ltd.,https://www.crunchbase.com/organization/algodynamix-ltd,"Artificial Intelligence, Finance, Financial Services, FinTech",Deep data risk analytics platform used by investment banks and asset managers including hedge funds and family offices,"London, England, United Kingdom",European Union (EU),Active,,1,,2014-11-05,,,,Non-equity Assistance,,,,,
2013-07-01,day,Echosec,https://www.crunchbase.com/organization/echosec,"Analytics, Business Intelligence, Cyber Security, Identity Management, Mapping Services, Marketing, National Security, Physical Security, Predictive Analytics, Security","Echosec is an award winning, SaaS, global real-time information discovery platform.","Victoria, British Columbia, Canada",,Active,,,,,,,,,,,,,
2015-12-01,day,Ernest,https://www.crunchbase.com/organization/ernest-2,"Artificial Intelligence, FinTech, Machine Learning, Personal Finance","Ernest a personal Banker for All powered by Artificial Intelligence: a chatbot that answers questions, gives insights & forecasts issues.","London, England, United Kingdom",European Union (EU),Active,,,M&A,,,,,,,,,,Was Acquired
2013-01-01,year,CrediWatch,https://www.crunchbase.com/organization/crediwatch,"Artificial Intelligence, FinTech, Information Services",Amplified Intelligence for Business and Enterprise.,"Bengaluru, Karnataka, India",Asia-Pacific (APAC),Active,,,,,,,,,,,,,
1972-01-01,year,Kroll,https://www.crunchbase.com/organization/kroll,"Accounting, Consulting, Data Visualization, Navigation, Risk Management, Security",Kroll is a global provider of risk solutions that helps clients make confident risk management decisions.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,,M&A,,,,,,,,,4,"Made Acquisitions, Was Acquired"
2013-06-06,day,Accrue,https://www.crunchbase.com/organization/accrue,"Analytics, Artificial Intelligence, Cloud Data Services, Enterprise Software, Finance, FinTech, Machine Learning, Risk Management, Software, Trading Platform",Accrue is a financial analytics company that builds deep learning technology.,"Cyberport, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),Active,,1,,2017-07-20,,,,Non-equity Assistance,,,,1,Made Acquisitions
2002-08-07,day,N-iX,https://www.crunchbase.com/organization/n-ix,"Artificial Intelligence, Big Data, Blockchain, Business Intelligence, Consulting, Enterprise Software, FinTech, Information Technology, InsurTech, Machine Learning, Outsourcing, Software Engineering, Video Games, Virtual Reality, Web Development",N-iX is an Eastern European provider of software development services with 800+ expert engineers powering technology businesses globally,"Lviv, L'vivs'ka Oblast', Ukraine",,Active,,,,,,,,,,,,,
2015-01-01,year,FinBox,https://www.crunchbase.com/organization/finbox,"Artificial Intelligence, Banking, Finance, Financial Services",FinBox digitizes customer journeys for Banks and NBFCs & to help them underwrite NTC customers using alternative data from the smartphone.,"Bangalore, Karnataka, India",Asia-Pacific (APAC),Active,,,,,,,,,,,,,
2016-08-11,day,Flyreel,https://www.crunchbase.com/organization/flyreel,"Artificial Intelligence, Insurance, InsurTech, Machine Learning, Mobile, Property Insurance",Flyreel is the most advanced AI-assisted underwriting solution for commercial and residential properties. ,"Denver, Colorado, United States","Greater Denver Area, Western US",Active,,1,Seed,2015-03-01,,,,Angel,,,,,
2012-01-01,year,PCA Audit,https://www.crunchbase.com/organization/pca-audit,"Artificial Intelligence, Fraud Detection, Health Care, Medical",PRX Control Solutions develops apps to provide prescription control and health management solutions for the healthcare industry.,"Chacao, NA - Venezuela, Venezuela",,Active,,2,Seed,2014-03-01,67782,EUR,93551,Grant,143587,USD,143587,,
2015-01-01,year,Mark Labs,https://www.crunchbase.com/organization/mark-labs,"Analytics, Artificial Intelligence, Finance, FinTech, Impact Investing, Machine Learning, Social Impact, Sustainability","Mark Labs is an AI-powered Impact Analytics Platform that enables its users to Measure, Communicate, and Improve their Impact Performance.","Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",Active,,3,,2018-05-05,,,,Convertible Note,,,,,
2018-08-01,month,ZASTI,https://www.crunchbase.com/organization/zasti,"Artificial Intelligence, Computer, Health Care, InsurTech, Machine Learning, Marine Technology, Software",ZASTI AI platform provides a scientific and proven way of predicting component or mechanical failure using a transparent SaaS model.,"Nottingham, Nottingham, United Kingdom",European Union (EU),Active,,1,Seed,2017-12-17,,,,Seed,,,,,
2011-01-01,year,MyBucks,https://www.crunchbase.com/organization/mybucks,"Artificial Intelligence, Banking, Financial Services, FinTech, Machine Learning",MyBucks is a company that embraces technology as a means to provide financial products and services.,"Luxembourg, Luxembourg, Luxembourg",European Union (EU),Active,,,IPO,,,,,,,,,3,Made Acquisitions
